Statement Analysis
Query,Full Table Scan,Executed (#),Errors (#),Warnings (#),Total Time,Max Time,Avg Time,Rows Sent (#),Avg. Rows Sent (#),Rows Scanned (#),Avg. Rows Scanned (#),Temp. Tables (#),Temp. Disk Tables (#),Rows Sorted (#),Sort Merge Passes (#),Digest
GRANT ALL ON `sjsu_rental_database` . * TO ? @? WITH GRANT OPTION,,1,1,0,5915.90,5915.90,5915.90,0,0.0,0,0.0,0,0,0,0,c031ece049c069d7eb6edf2c5306ae867c6adb31c689a854fad72c7e777d74a2
"SELECT ? AS ? , CATALOG_NAME AS ? , SCHEMA_NAME AS ? , SCHEMA_NAME AS ? FROM `information_schema` . `schemata`",*,1,0,0,5766.90,5766.90,5766.90,19,19.0,58,58.0,0,0,0,0,3b6784ad253d45140cd9e7fb4441cdae15482e20f6b521081eaceb134eb766e0
SELECT `CONNECTION_ID` ( ),,16,0,0,5666.40,1720.80,354.10,16,1.0,16,1.0,0,0,0,0,e17c82a4f8c6d7083a2c7e3f35c96912c5410b431f6129935b61a9f686adaeab
SHOW FIELDS FROM `amenities`,,4,0,0,5594.70,1937.20,1398.60,8,2.0,52,13.0,4,0,8,0,5d85c9b51cf51e2d39b0ae25b25c69e0f6fce9103191cca973526d5db244eb7a
SHOW FUNCTION STATUS WHERE `Db` = ?,,2,0,0,5515.60,4036.40,2757.80,0,0.0,4,2.0,0,0,0,0,1023723dae12e40234921687402e70f60d7a8b233a3da73a4e46b38e0feb23a9
SHOW FIELDS FROM `bookings`,,4,0,0,5446.10,1526.80,1361.50,36,9.0,168,42.0,4,0,36,0,5bad94907596d00c0d2c5b90359a9187b60e7ade3e2eb057cf7268c2374ca64d
SHOW FIELDS FROM `customer`,,4,0,0,5246.50,1380.00,1311.60,64,16.0,276,69.0,4,0,64,0,504c68853d714166488cc7d3bf7d3219bcbbea5e1a002cfab657d2d4d3793bf4
"SELECT ? AS ? , `TRIGGER_CATALOG` AS ? , `TRIGGER_SCHEMA` AS ? , `TRIGGER_NAME` AS ? FROM `information_schema` . `triggers` WHERE `trigger_schema` = ?",*,1,0,0,5181.40,5181.40,5181.40,0,0.0,50,50.0,0,0,0,0,d631cd139e1d00b625a62b313e16f6fce04aa29ad98ae12b20dd110815bec5f7
LOCK TABLES `mysql` . `proc` READ,,2,2,0,5052.10,2772.30,2526.00,0,0.0,0,0.0,0,0,0,0,9209868f634f1e320f6ccae7cb83dee0d1ffecaf45328012ebd997c8b21354b5
SHOW FIELDS FROM `host`,,4,0,0,5009.20,1377.70,1252.30,68,17.0,292,73.0,4,0,68,0,b6e55df82ee2750e50011733c9afcaf65ba0d9824f73e2b91e7fa267ceed37e9
"SELECT `Db` AS `scope` , SYSTEM_USER , HOST , `Select_priv` AS ? , `Insert_priv` AS ? , `Update_priv` AS ? , `Delete_priv` AS ? , `Create_priv` AS ? , `Drop_priv` AS ? , `Grant_priv` AS ? , `References_priv` AS ? , `Index_priv` AS ? , `Alter_priv` AS ? , `Create_View_priv` AS ? , `Show_view_priv` AS ? , `Trigger_priv` AS ? FROM `mysql` . `db` WHERE ? LIKE `db`",*,7,0,0,4986.40,1427.20,712.30,0,0.0,14,2.0,0,0,0,0,3f404640e90c959b7ae5de8424b8f95e570e615e61a0f22ad4d45a48e84191b7
SHOW CREATE TABLE `sjsu_rental_database` . `amenities`,,1,0,0,4972.60,4972.60,4972.60,0,0.0,0,0.0,0,0,0,0,a40bd35c51b3716eca598e35267ff3c6098783020ca611a3cdacb61a8e9856cd
SHOW FIELDS FROM `country`,,4,0,0,4952.70,1482.40,1238.10,8,2.0,52,13.0,4,0,8,0,54413fef8fdf5517d547e6a52d5abe9b38248a4d33230a1de89d5c4b3025ee66
SHOW PROCEDURE STATUS WHERE `Db` = ?,,1,0,0,4776.90,4776.90,4776.90,0,0.0,2,2.0,0,0,0,0,cbc301da493d6b465340bd346910730ee04459290e7cb9d392d71de4e8fea677
SELECT * FROM `sys` . `x$memory_global_by_current_bytes`,*,1,0,0,4675.50,4675.50,4675.50,197,197.0,702,702.0,0,0,197,0,48ce73cdbb272f4f8d8381c781958438af4095494c9e95ed5ac471d0504d43e8
UPDATE `listings` SET `Neighbourhood_Group` = ? WHERE `Listings_ID` = ?,,1,0,0,4639.90,4639.90,4639.90,0,0.0,1,1.0,0,0,0,0,fea7015c53da38cd1fe18ea85466bab189abc172156d9acd3f44fbf9c6f64ba4
"SELECT * FROM `sjsu_rental_database` . `listings` LIMIT ?, ...",*,3,0,0,4522.80,3745.50,1507.60,28,9.0,28,9.0,0,0,0,0,4e51e5dd670acd4c70a6ab8b89e0024e444f9dc50444f907597d0d0731ba2177
SHOW FIELDS FROM `amenities_provided`,,4,0,0,4496.10,1718.10,1124.00,8,2.0,52,13.0,4,0,8,0,0745d17027ce0df31ab170f8e776145fa936b0023b8105ae2f4ad2034f3e5b26
SHOW INDEX FROM `sjsu_rental_database` . `state`,,3,0,0,4419.50,2100.00,1473.10,3,1.0,35,12.0,3,0,3,0,2b2abf55d0988571b69e53fe7c95527e81e8e6a069f60fa7f9a19e688c08bedb
"SELECT DISTINCTROW `TABLESPACE_NAME` , `FILE_NAME` , `LOGFILE_GROUP_NAME` , EXTENT_SIZE , INITIAL_SIZE , ENGINE FROM `INFORMATION_SCHEMA` . `FILES` WHERE `FILE_TYPE` = ? AND `TABLESPACE_NAME` IN ( SELECT DISTINCTROW `TABLESPACE_NAME` FROM `INFORMATION_SCHEMA` . `PARTITIONS` WHERE `TABLE_SCHEMA` IN (...) ) ORDER BY `TABLESPACE_NAME` , `LOGFILE_GROUP_NAME`",*,2,0,0,4356.50,2570.70,2178.20,0,0.0,26,13.0,4,0,0,0,fc0fcfe691d048bd63e8bc1a10f5aa9a1bfc794a5775aa2b6822d86f6c53b56e
"INSERT INTO `sjsu_rental_database` . `host` VALUES (...) /* , ... */",,1,0,0,4355.30,4355.30,4355.30,0,0.0,0,0.0,0,0,0,0,b862b254f7d836da3a6c109639c8034d8cc7bbc8b2825b861c1eff3ef19bbcb9
SHOW TRIGGERS FROM `sjsu_rental_database` WHERE `Table` = ?,,2,0,0,4256.50,3490.60,2128.20,0,0.0,6,3.0,2,0,0,0,27016eaad1abaa9a76aecbd867740748faf36c2bc753d7cd5ccc8a9523b53f11
"SELECT ? AS ? , `TABLE_CATALOG` AS ? , `TABLE_SCHEMA` AS ? , TABLE_NAME AS ? FROM `information_schema` . `tables` WHERE `table_type` != ? AND `table_schema` = ?",,1,0,0,4135.10,4135.10,4135.10,11,11.0,26,26.0,0,0,0,0,1c6aa0e62a81a537d6e3b5ec022eaaec3751393f6f3e39be0b2f6c0ae7fe02e4
SHOW FULL FIELDS FROM `sjsu_rental_database` . `amenities`,,1,0,0,4037.80,4037.80,4037.80,2,2.0,13,13.0,1,0,2,0,73c3b4d516551f6605539aeeed613f68675abe6dbcf1bcfa04701080cf42eeb4
SHOW FIELDS FROM `state`,,4,0,0,4033.10,1173.30,1008.20,8,2.0,52,13.0,4,0,8,0,bff1447c3680952696f7a1eb3984348f7e091a6ef0d9abc01b594424b2755666
SHOW FIELDS FROM `reviews`,,4,0,0,3992.20,1149.30,998.00,28,7.0,132,33.0,4,0,28,0,49fcbec84bd2ef0e63438c8d3256027fd0835f9c5c610a295d71ddc9a4ed92aa
USE `sjsu_rental_database`,,28,0,0,3969.60,381.50,141.70,0,0.0,0,0.0,0,0,0,0,0f118f944a64a593bfbbfa6a8e2cbce9db084bdaa5498cb0e6678ab9b15a4674
SELECT `sys_version` FROM `sys` . `version`,,2,0,0,3881.80,3742.80,1940.90,2,1.0,4,2.0,2,0,0,0,d5483ab0e1343735b239e0f1cc57afef113d12d8617735410de021863b37725d
SHOW CREATE TABLE `sjsu_rental_database` . `amenities_provided`,,1,0,0,3859.60,3859.60,3859.60,0,0.0,0,0.0,0,0,0,0,c960a09e0e4748141366e3e0d5730cdd38a9feb9c685c34de769562210ccf508
"SELECT HOST , SYSTEM_USER FROM `mysql` . `user`",,1,0,0,3829.90,3829.90,3829.90,7,7.0,7,7.0,0,0,0,0,9189e9bbd3b839a129d307b237370ceba1d76d238d682e67f47bb86cfd05eabe
SHOW FIELDS FROM `verification`,,4,0,0,3826.10,1065.00,956.50,8,2.0,52,13.0,4,0,8,0,89f273d3cd7b3cbba8fc939ca1ad9242ed67bcc9f21d4559c7f387cc46f9bccc
SHOW FIELDS FROM `payment`,,4,0,0,3824.90,1025.30,956.20,20,5.0,100,25.0,4,0,20,0,12669174d499c9d89381f512a99879f634441af45652635f627c0b9b48c94536
SHOW INDEXES FROM `sjsu_rental_database` . `amenities`,,1,0,0,3508.20,3508.20,3508.20,2,2.0,17,17.0,1,0,2,0,b781dda1b66ddab9cc60ad84ad65f14b41ccecf915fcad473c628b1c89a9b23c
SHOW FIELDS FROM `sjsu_rental_database` . `bookings`,,2,0,0,3478.40,2089.40,1739.20,20,10.0,90,45.0,2,0,20,0,9fc1e3c625a8a5ca1c001b6aa1b97f6c7110497509ed9d4a291df65d212d90b2
"INSERT INTO `sjsu_rental_database` . `host` VALUES ( ?, ... - ? - ?, ... )",,1,1,0,3410.00,3410.00,3410.00,0,0.0,0,0.0,0,0,0,0,c802e53994674f796b69459e29e2f631c828c13b4db17c5d73ad22a03e77d641
GRANT ALL PRIVILEGES ON `sjsu_rental_database` . * TO ? @? WITH GRANT OPTION,,1,1,0,3224.10,3224.10,3224.10,0,0.0,0,0.0,0,0,0,0,f7a2e2389be76681c1ca366d2c1ab1b67fdc23fcd11ccd2caea8a9754c752bf6
SHOW FIELDS FROM `sjsu_rental_database` . `payment`,,2,0,0,3176.70,1965.20,1588.30,10,5.0,50,25.0,2,0,10,0,f56f47658efcf989627bf5f0eb04149e1d4cf8434c84714699fc365b60c0c34c
SHOW CHARSET,*,1,0,0,3174.40,3174.40,3174.40,41,41.0,123,123.0,0,0,41,0,1856574834be14252580820873d7125ede9315d91bf93a4a4525fac56ee51b6f
"SELECT `CONCAT` ( `Db` , ? , TABLE_NAME , ? , COLUMN_NAME ) AS `scope` , SYSTEM_USER , HOST , IF ( `FIND_IN_SET` ( ? , `Column_priv` ) = ?, ... ) AS ? , IF ( `FIND_IN_SET` ( ? , `Column_priv` ) = ?, ... ) AS ? , IF ( `FIND_IN_SET` ( ? , `Column_priv` ) = ?, ... ) AS ? , IF ( `FIND_IN_SET` ( ? , `Column_priv` ) = ?, ... ) AS ? FROM `mysql` . `columns_priv` WHERE `Db` LIKE ? AND TABLE_NAME LIKE ?",*,7,0,0,3150.50,690.70,450.00,0,0.0,0,0.0,0,0,0,0,bee6be76b8a711fc358c9ce8359567fc88343ee8066a30a679d0ace9321f54be
SHOW INDEX FROM `sjsu_rental_database` . `host`,,1,0,0,2856.30,2856.30,2856.30,6,6.0,56,56.0,1,0,6,0,dd51aebabe3a4bddf53ff6aac4ce28c6374f8cd2e12aeeed41936880226ce9fe
SHOW INDEX FROM `sjsu_rental_database` . `verification`,,1,0,0,2778.20,2778.20,2778.20,1,1.0,11,11.0,1,0,1,0,6842a737586b563be07a1d07f13b9c47b75357381ea940f84dc079adfcfc20c1
"SELECT * FROM `bookings` WHERE `Customer_Name` LIKE ? LIMIT ?, ...",*,5,0,0,2664.80,1360.50,532.90,5,1.0,50,10.0,0,0,0,0,cf91621e18b72cbc9cbe66fae846089503e1a50916ddb15e0d33fbc9e0910a33
SELECT @@`collation_database`,,26,0,0,2629.20,236.20,101.10,26,1.0,26,1.0,0,0,0,0,66570a783004b2fd93def1323578350d357c68a5d2280e332883189bc0bbc8dd
INSERT INTO `sjsu_rental_database` . `host` VALUES (...),,1,0,0,2549.20,2549.20,2549.20,0,0.0,0,0.0,0,0,0,0,fa1adb2a76f2d062ca38b4392579b5372eb28f977459de9d9387795f6d079438
SET `SQL_SAFE_UPDATES` = ?,,8,0,0,2513.80,457.70,314.20,0,0.0,0,0.0,0,0,0,0,05a9d2cc7f87b977af87566844ff7bee31fc9602525cd898eb23cb8a005097cd
SHOW PROCEDURE STATUS WHERE `Db` = ?,,2,0,0,2491.60,1570.50,1245.80,0,0.0,4,2.0,0,0,0,0,cbc301da493d6b465340bd346910730ee04459290e7cb9d392d71de4e8fea677
SHOW CREATE TABLE `sjsu_rental_database` . `bookings`,,1,0,0,2477.30,2477.30,2477.30,0,0.0,0,0.0,0,0,0,0,cc65f58badad20d9558d65ef5ddfbe0991320bfccbd68e0f258525bb296f2b3b
"SELECT * FROM `sjsu_rental_database` . `amenities` LIMIT ?, ...",*,1,0,0,2385.20,2385.20,2385.20,10,10.0,10,10.0,0,0,0,0,166bcf4756d3a219828cf0e72cda957f694a1df2c7f0873d521c651e398a5944
SHOW INDEX FROM `sjsu_rental_database` . `customer`,,1,0,0,2321.50,2321.50,2321.50,7,7.0,62,62.0,1,0,7,0,b12e9a9ecefd426048aa5fa6a1269ba8514c12ed05f45dd8bf8070fdae346c4d
SET `SQL_QUOTE_SHOW_CREATE` = ?,,22,0,0,2268.30,364.00,103.10,0,0.0,0,0.0,0,0,0,0,c4b6889894c1d0b4b2f50105fa0e20d039abc513619b87ef888b1cf3af013fb6
"SELECT `bookings` . `Customer_Name` , `Price_Incurred` FROM `sjsu_rental_database` . `bookings` JOIN `sjsu_rental_database` . `customer` ON `bookings` . `Customer_ID` = `customer` . `Customer_ID` LIMIT ?, ...",*,1,0,0,2190.40,2190.40,2190.40,10,10.0,20,20.0,0,0,0,0,aed380d9648e25416b584b41e63da940fcd3114d223e1a483ea00dcf6cc8d87f
SHOW FUNCTION STATUS WHERE `Db` = ?,,1,0,0,2098.20,2098.20,2098.20,0,0.0,2,2.0,0,0,0,0,1023723dae12e40234921687402e70f60d7a8b233a3da73a4e46b38e0feb23a9
SHOW FIELDS FROM `sjsu_rental_database` . `host`,,2,0,0,2020.90,1054.10,1010.40,34,17.0,146,73.0,2,0,34,0,de640d1560dc6c342e1e0f52357a26f136d121ec83370d3b30a307f3a3749c29
SELECT SQL_NO_CACHE * FROM `host`,*,2,0,2,2010.20,1304.10,1005.10,20,10.0,20,10.0,0,0,0,0,bdea130eef2c9a0cfda5a1923bb966a8299365ddcc67c95ea66a85aea52cf63e
SELECT `st` . * FROM `performance_schema` . `events_waits_history_long` `st` WHERE `st` . `nesting_event_id` = ?,*,4,0,0,1892.40,1526.60,473.10,0,0.0,0,0.0,0,0,0,0,e2d8fd23be9b829c53381c11c053388a27bacc090dbe669b724641065e50b6c9
SHOW INDEX FROM `sjsu_rental_database` . `reviews`,,1,0,0,1884.40,1884.40,1884.40,4,4.0,34,34.0,1,0,4,0,75079de999aebb8fc3cc92683e9592ea2bd6f0224b21d0a0b1ecc1a47df5c338
SHOW CREATE SCHEMA `sys`,,1,0,0,1881.40,1881.40,1881.40,0,0.0,0,0.0,0,0,0,0,22498b9939c33193ceb6d0078386c2d188f8af4d5a300b7cbe9a657505951956
SET @@`SQL_MODE` = ?,,2,0,0,1862.20,1730.30,931.10,0,0.0,0,0.0,0,0,0,0,ab131472d4157d3872a3a4a61a8de4dd400574bd577e35a536102cbc83739e22
SHOW CREATE SCHEMA `sjsu_rental_database`,,4,0,0,1818.00,670.20,454.50,0,0.0,0,0.0,0,0,0,0,a6007cc12f2a8f6d25137cfe3d56c06bea2c61dc9ce3101d21116c5ff21ba546
SELECT `st` . * FROM `performance_schema` . `events_stages_history_long` `st` WHERE `st` . `nesting_event_id` = ?,*,4,0,0,1817.30,1373.80,454.30,0,0.0,0,0.0,0,0,0,0,38ab808b1a73a9d4a0cd3dd87d741ef210a26d49ad8f262c92173ac348672be3
SHOW CREATE TABLE `host`,,2,0,0,1801.20,1458.80,900.60,0,0.0,0,0.0,0,0,0,0,4de5ab926911ab387b0c1ade080ebeabd365015604ff9aa99214aca27d510887
SHOW CREATE TABLE `sjsu_rental_database` . `customer`,,1,0,0,1710.20,1710.20,1710.20,0,0.0,0,0.0,0,0,0,0,46fc79d6c2302033ca1e7324bd4dc185f57322cc6cd585030aa03539cdb9b78a
SELECT SCHEMA ( ),,9,0,0,1624.00,509.30,180.40,9,1.0,9,1.0,0,0,0,0,ce04eda080d3f5605113e1d0d47c2f20e23b091e2487ba586f07b32cda423942
SHOW CREATE SCHEMA `invoicing`,,1,0,0,1529.20,1529.20,1529.20,0,0.0,0,0.0,0,0,0,0,1c8195da44b1077e993254db98d0ea5553a66c024eaa70180829698be40930e2
SHOW CREATE SCHEMA `sakila`,,1,0,0,1525.20,1525.20,1525.20,0,0.0,0,0.0,0,0,0,0,703090a2f97b550332a2ee04f4b51227ea7fcd0bc8442b662d57feadbdc7f185
SHOW CREATE SCHEMA `sql_invoicing`,,1,0,0,1481.90,1481.90,1481.90,0,0.0,0,0.0,0,0,0,0,82998c4a622f5943e05f0c835a725488d0e31cc3b57512a58e58acba0e6a040a
SELECT SQL_NO_CACHE * FROM `listings`,*,2,0,2,1465.30,1184.60,732.60,26,13.0,26,13.0,0,0,0,0,2e0c59fe05be88d96f026bf47cd8f04f67df5d02aa94b78e7e8494d501bcedcb
SET `autocommit` = ?,,14,0,0,1372.70,306.70,98.00,0,0.0,0,0.0,0,0,0,0,158bfe3d4b4b0a372a4acdb38affe2cb4f6b3cb21a9af0ea9fad9a9a083ac18a
"SELECT ? AS ? , `TRIGGER_CATALOG` AS ? , `TRIGGER_SCHEMA` AS ? , `TRIGGER_NAME` AS ? , `EVENT_MANIPULATION` , `EVENT_OBJECT_SCHEMA` , `EVENT_OBJECT_TABLE` , `ACTION_ORDER` , `ACTION_CONDITION` , `ACTION_STATEMENT` , `ACTION_ORIENTATION` , `ACTION_TIMING` , DEFINER FROM `information_schema` . `triggers` WHERE `trigger_schema` = ?",*,1,0,0,1341.70,1341.70,1341.70,0,0.0,50,50.0,0,0,0,0,c82c5aac55093448a3b77dc06ff1ee3f5100ac2174e3ab6e7bb298623ff9d727
SHOW GRANTS,,2,0,0,1333.10,935.50,666.50,0,0.0,0,0.0,0,0,0,0,357c2f9945785534854aa7e387a6a8c95121e3b10a0e9ab1784bc0c45a34d47d
SHOW CREATE TABLE `sjsu_rental_database` . `payment`,,1,0,0,1302.90,1302.90,1302.90,0,0.0,0,0.0,0,0,0,0,385e08b1561536563573eca6280d656b82630ecb99952ff66a515ebee1960c13
SELECT SQL_NO_CACHE * FROM `amenities`,*,2,0,2,1286.00,1137.10,643.00,20,10.0,20,10.0,0,0,0,0,5592fd4a1376b6bbd481c612edad4faa3ff1fb7b67c20049fa7eda8fbf3c22eb
SHOW CREATE TABLE `sjsu_rental_database` . `reviews`,,1,0,0,1282.80,1282.80,1282.80,0,0.0,0,0.0,0,0,0,0,0e1c9c6d1df0b8eca5f058a1307b87e75bb8eb85c77d42b64b51b7f15a7b5c66
SHOW CREATE TABLE `amenities`,,2,0,0,1278.80,814.10,639.40,0,0.0,0,0.0,0,0,0,0,c394024613781ef5eed0947760a5182585c29bd5b12b94183f184b35b9a0e669
SHOW CREATE SCHEMA `store`,,1,0,0,1273.40,1273.40,1273.40,0,0.0,0,0.0,0,0,0,0,5c6836725de83fcf5a78cf47c1e01ced26a553b0d7579faf19433cda876a824c
SHOW CREATE SCHEMA `company`,,1,0,0,1263.20,1263.20,1263.20,0,0.0,0,0.0,0,0,0,0,a6ed59952a4a2ed9fc2c6e736f8301d0d41ab1aaecb86d3298419cc12ba2b2c9
SHOW CREATE TABLE `reviews`,,2,0,0,1243.10,905.10,621.50,0,0.0,0,0.0,0,0,0,0,b1e59a83ce04efc9d01775f3a7e458671b3592af4da8dd9493aea87ada33c8de
SHOW CREATE EVENT `Fixed_Monthly_Bill`,,2,0,0,1203.60,977.80,601.80,0,0.0,0,0.0,0,0,0,0,18c61cb47d14aee15353bebc340d54ddb9d8204ba498a1623a2d7b9bb0eecaec
SELECT @@`lower_case_table_names`,,1,0,0,1194.60,1194.60,1194.60,1,1.0,1,1.0,0,0,0,0,1da3a196185b678ecb9d76f22b1efe1ad4983d6b48955f16315e02da05f3d0e8
SHOW FIELDS FROM `sjsu_rental_database` . `listings`,,1,0,0,1170.40,1170.40,1170.40,37,37.0,153,153.0,1,0,37,0,251db5f1662b0edb71685298f69e5f7d7c1359925857f70aeaef2725e9429afd
USE `SJSU_Rental_Database`,,4,0,0,1148.10,317.10,287.00,0,0.0,0,0.0,0,0,0,0,0d547b920252868f51f57a0b02c4d209dfa979d164ca3508a4708caa71cd1fa6
SHOW CREATE TABLE `sjsu_rental_database` . `listings`,,1,0,0,1103.70,1103.70,1103.70,0,0.0,0,0.0,0,0,0,0,1cd769587825e1293249c069466e018e761d1b165eeb910b7a2e4871742f471b
SHOW CREATE TABLE `sjsu_rental_database` . `country`,,1,0,0,1085.90,1085.90,1085.90,0,0.0,0,0.0,0,0,0,0,7d7ce595355039d6142bdc6a1d49ee3849fddb990ccee916bb8db6b5d3791565
SELECT `version` ( ),,1,0,0,1078.80,1078.80,1078.80,1,1.0,1,1.0,0,0,0,0,6c34c9edb36fd2d575a66f1762f0bb40569b0049df13f95423e358ef409930b6
SELECT @@`lower_case_table_names`,,1,0,0,1076.30,1076.30,1076.30,1,1.0,1,1.0,0,0,0,0,1da3a196185b678ecb9d76f22b1efe1ad4983d6b48955f16315e02da05f3d0e8
SHOW CREATE TABLE `sjsu_rental_database` . `host`,,2,0,0,1037.40,734.60,518.70,0,0.0,0,0.0,0,0,0,0,ee7cc3c178539deebaba74712f172e58c0a501016c8853e8bf86fedcc6357b6c
SHOW CREATE TABLE `country`,,2,0,0,1036.90,680.20,518.40,0,0.0,0,0.0,0,0,0,0,8389a2599847f5b901055c5f766a9cab843ccb0f572474361a2c1c2a6358a07c
SHOW CREATE SCHEMA `sql_inventory`,,1,0,0,1016.50,1016.50,1016.50,0,0.0,0,0.0,0,0,0,0,fbdfbd304058cb6b15f4de38df3462047060f38000baddde784a68bbcf5387df
"SELECT * FROM `sjsu_rental_database` . `amenities_provided` LIMIT ?, ...",,3,0,0,1011.30,342.70,337.10,47,16.0,47,16.0,0,0,0,0,1c5d8ac49517db6b3eccf30d5bce24b9ad44f0844c0330ba45f0966fe0402b94
SHOW CREATE SCHEMA `employee`,,1,0,0,988.60,988.60,988.60,0,0.0,0,0.0,0,0,0,0,eb8fe21b82ee035026296c31aac47b2e4fd0bd1ad00f3ef59764ff83b9f2908f
SHOW CREATE SCHEMA `world`,,1,0,0,982.80,982.80,982.80,0,0.0,0,0.0,0,0,0,0,f339f78a28b4287229adb2a43e84244263a2dd353a5cf5ff0a5c15cc1dbf9351
SHOW CREATE TABLE `customer`,,2,0,0,961.30,554.10,480.60,0,0.0,0,0.0,0,0,0,0,4fd052a1a27c0d5fe0b5f2cea725feb7f509862475c9f650f5798567011d71c3
SHOW CREATE SCHEMA `mysql`,,1,0,0,959.90,959.90,959.90,0,0.0,0,0.0,0,0,0,0,26368af34ecddbbaa3ec737b88433afcafd4f5e97df3a398b5b074e718d5834f
SHOW CREATE TABLE `state`,,2,0,0,955.30,564.90,477.60,0,0.0,0,0.0,0,0,0,0,9f53c13632477c59dbc7f0d55d5c518d55982cc3b0dcf933e69bcd02f208af5b
SELECT CURRENT_USER ( ),,7,0,0,948.20,223.20,135.40,7,1.0,7,1.0,0,0,0,0,3eff569d77bf7e2ccb14bd593a390e6187f054f1435d6bed2f3b547f827e8992
SHOW CREATE TABLE `amenities_provided`,,2,0,0,940.10,520.70,470.00,0,0.0,0,0.0,0,0,0,0,fec62766b697533367fcd4ede9319778740f640b3eb7fd38da5d5510e9e87158
SHOW CREATE TABLE `bookings`,,2,0,0,935.40,484.10,467.70,0,0.0,0,0.0,0,0,0,0,88d7500112bef4fd1ed9080e1a76bc0cf1bb45f965fbca104cfcd72fbb984e8c
SELECT SQL_NO_CACHE * FROM `state`,*,2,0,2,909.80,698.60,454.90,100,50.0,100,50.0,0,0,0,0,a7af4d653d3f62c6d3dda51cdf7635947d54b0e964bb093865e398a815604ad3
SHOW CREATE TABLE `sjsu_rental_database` . `host`,,1,0,0,894.20,894.20,894.20,0,0.0,0,0.0,0,0,0,0,ee7cc3c178539deebaba74712f172e58c0a501016c8853e8bf86fedcc6357b6c
SELECT SQL_NO_CACHE * FROM `reviews`,*,2,0,2,883.10,625.20,441.50,10,5.0,10,5.0,0,0,0,0,caccb2c8fe6bd0a2eb35be86c72244a3f2ece388969a571a5284527dcce8ac85
SHOW CREATE TABLE `verification`,,2,0,0,794.70,506.50,397.30,0,0.0,0,0.0,0,0,0,0,723dfda0076b85550a455fb4414b14e879b36296b9c9d9e1d3bff494ca881a74
SHOW CREATE TABLE `listings`,,2,0,0,778.60,416.10,389.30,0,0.0,0,0.0,0,0,0,0,c641218b3db7b33d1671b56730cf000548a5082876f3559af6c9521c03b09ba9
SHOW CREATE TABLE `sjsu_rental_database` . `state`,,1,0,0,758.50,758.50,758.50,0,0.0,0,0.0,0,0,0,0,86dd806def6e135973edc70d16e85f78fc7755aa321aa5125bed71253996cbde
SHOW CREATE SCHEMA `practice`,,1,0,0,740.60,740.60,740.60,0,0.0,0,0.0,0,0,0,0,f493fbe1d6e05b532f53a5076ef70633584e3c193526d3505e835d9bb66464b3
SHOW CREATE TABLE `payment`,,2,0,0,740.00,428.20,370.00,0,0.0,0,0.0,0,0,0,0,41832050146170de5365ed8264896c31845a60134d3ffdf096dafff1240d6504
SELECT SQL_NO_CACHE * FROM `country`,*,2,0,2,700.10,511.60,350.00,2,1.0,2,1.0,0,0,0,0,fcdaeaa456cee8e3edecdfd7e844c3929af5a95bdb70c971f4b1a2c7f0d7bd98
SET SESSION `information_schema_stats_expiry` = ?,,2,0,0,641.40,553.50,320.70,0,0.0,0,0.0,0,0,0,0,a2eb503e3d8989ddc8a42372212ee047c6e463f1fb26ec783976e04c1fae009a
SHOW CREATE TABLE `sjsu_rental_database` . `verification`,,1,0,0,632.20,632.20,632.20,0,0.0,0,0.0,0,0,0,0,fabb8d474de4cd85611a4b51ebd3cde758f362c2d423533a251d214fb9422037
SHOW CREATE TABLE `sjsu_rental_database` . `listings`,,1,0,0,572.00,572.00,572.00,0,0.0,0,0.0,0,0,0,0,1cd769587825e1293249c069466e018e761d1b165eeb910b7a2e4871742f471b
SELECT SQL_NO_CACHE * FROM `customer`,*,2,0,2,558.30,352.90,279.10,20,10.0,20,10.0,0,0,0,0,b1f378c96a462b1f585e494a48bf598cae42ec1fdb803e97db30d0f29f7f0852
SET `TIME_ZONE` = ?,,2,0,0,537.80,365.50,268.90,0,0.0,0,0.0,0,0,0,0,34050bb5911aac2ae6a515dde77e32258e0712af886d6e53e57b28463f110f90
SHOW ENGINES,*,1,0,0,518.40,518.40,518.40,9,9.0,9,9.0,1,0,0,0,694ce669f6158c6e62190a80036873cd7a95b81566f32b7f979f9624b10f564a
"SET SESSION `NET_READ_TIMEOUT` = ? , SESSION `NET_WRITE_TIMEOUT` = ?",,2,0,0,509.70,425.40,254.80,0,0.0,0,0.0,0,0,0,0,d419acc3d87e1e37c8076166a6754cb5f4db33760fc26970ae934e420a9dbb61
SELECT SQL_NO_CACHE * FROM `bookings`,*,2,0,2,486.20,301.90,243.10,20,10.0,20,10.0,0,0,0,0,7cca41d298d1cc0408b6aafd97fc22290f58b4343dddb68f524768a92e7239f2
SHOW CREATE SCHEMA `sql_store`,,1,0,0,412.30,412.30,412.30,0,0.0,0,0.0,0,0,0,0,282ba51be18facc4508f055e3e4ccc4d7adc6205702e4648799d4e14d09e9b51
SHOW CREATE SCHEMA `northwind`,,1,0,0,405.60,405.60,405.60,0,0.0,0,0.0,0,0,0,0,53b22ab230f78cf5693a5cacaec49d99f2ab82819716de703c9d4a09e9e68a75
USE `SJSU_Rental_Database`,,1,0,0,393.40,393.40,393.40,0,0.0,0,0.0,0,0,0,0,0d547b920252868f51f57a0b02c4d209dfa979d164ca3508a4708caa71cd1fa6
